commands/command,Priority,Type
can we please change lanes because this car in front of us is behaving weird.,not Safety,routing
change lanes and get behind the white hatchback.,not Safety,routing
wait and let this car in front of us proceed first. ,not Safety,routing
follow the car ahead of us,not Safety,routing
follow the blue car that is my friend mark. we are having lunch together today.,not Safety,Entertainment
make the turn after this grey can and speed up because we are running late! my boss is going to fire me!,Safety,traffic management
make a wide left around the car that is attempting to park in front of us.,not Safety,Parking
make a wide left around the car parking and continue straight. ,Not Safety,Parking
drive through the parking lot and park near that grey car on the right ,Not Safety,Parking
"if there is a spot next to that mercedes, park next to it. ",Not Safety,Parking
"slow down. once that car has parked, we can move on.",Safety,traffic management
wait for the black car to park. then look for an available spot. ,Not Safety,Parking
"go around the black car, there is enough room",Not Safety,routing
"go up behind that black car, the one that is the last in the line on the left",Not Safety,routing
park near that car up ahead on the left. ,Not Safety,Parking
"my friend is in that car, follow them through the intersection.",Not Safety,traffic management
get in the same lane as that vehicle.,Not Safety,traffic management
pass that car on the right side.,Safety,traffic management
"stop beside that silver car, my friends are in there. i want to see where they are going.",Not Safety,traffic management
keep up with the car ahead until we get to our destination.,Not Safety,routing
avoid the lane this car is getting in.,Safety,traffic management
move up and get behind the gray car ahead of us,Not Safety,routing
you need to keep following the car in front of us. ,Not Safety,routing
turn left like the car before us,Not Safety,routing
we need to turn right. but wait until the car coming from the other side has passed us. ,Not Safety,routing
"oncoming traffic, yield to that car before turning right. ",Not Safety,traffic management
"wait until that second vehicle passed us, then turn right.",Not Safety,routing
"stop in our lane, but parallel to where that white car is now",Stop,traffic management
stop right behind the silver car in front of us.,Stop,traffic management
"my friends are in the silver car in front of us, follow it wherever it goes.",Not Safety,traffic management
"car moving, go forward behind it.",Not Safety,routing
stay still until the car ahead moves.,Safety,traffic management
start moving once the car is a safe distance ahead.,Safety,traffic management
remain one car length behind the vehicle ahead. ,Not Safety,routing
get in the same lane as the vehicle before us.,Not Safety,traffic management
turn left at the driveway where the light color car is.,Not Safety,routing
speed up and follow the black coupe in the right lane.,Safety,traffic management
that is mike's car on the left.     please follow him.,Not Safety,routing
stay behind this car ,Not Safety,routing
follow this car until the next light then turn right.,Not Safety,routing
"turn left, down the street where that gray car is.",Not Safety,routing
drive up next to this car.,Not Safety,routing
get ahead of this car.,Not Safety,routing
get ahead of this car and take a right turn.,Not Safety,routing
get closer to the black car in the right lane.,Not Safety,routing
follow the mazda,Not Safety,routing
"careful, there is car coming onto the main road from the left. ",Safety,traffic management
signal left and follow the black car,Not Safety,routing
stop behind the black car,Stop,traffic management
"that is the place, where that gray suv is coming out of. let these trucks pass, and turn left into that lot when it is safe",Safety,routing
that is the place. turn into the parking garage in front of this white car on the right,Not Safety,routing
park in the street somewhere behind that silver car,Not Safety,Parking
speed up and get closer to the grey car in front of us,Safety,traffic management
i think the entrance to the parking lot should be where this vehicle before us is right now,Not Safety,traffic management
i have an appointment where this grey van is coming from. turn there please,Not Safety,traffic management
turn right behind this parked car,Not Safety,routing
pull up behind the car on the right side of the road. ,Not Safety,routing
follow that minivan!,Not Safety,routing
"if that white van turns left, follow him. ",Not Safety,routing
turn left once this white car has passed. ,Not Safety,routing
turn right and follow that mini-van,Not Safety,routing
make a right hand turn following behind the gray station wagon,Not Safety,routing
turn right following behind the gray mini van,Not Safety,routing
make a left turn after the gray mini van passes ,Not Safety,routing
make a left turn into the right lane following the white sedan,Not Safety,routing
park next to that white suv up ahead,Not Safety,Parking
"continue straight ahead, down the street where that jeep is parked on the left",Not Safety,routing
follow  the white van when the light turns green. ,Safety,traffic management
make a right turn once the black car passes.,Safety,routing
go where that van is going.,Not Safety,routing
go around the car in front of us.,Not Safety,routing
merge into the adjacent lane to the left and pass this vehicle.,Safety,routing
stop here and follow this car when it accelerates.,Stop,routing
"proceed forward, remaining behind this car.",Not Safety,routing
merge into the adjacent lane and follow that vehicle on the left.,Not Safety,traffic management
move into the lane next to that vehicle on the left and match their speed.,Not Safety,traffic management
"move into the adjacent lane next to that sliver vehicle on the left, speed up, and pass them.",Not Safety,traffic management
change lanes before the car in front moves again,Safety,traffic management
do not change lanes car passing on left,Safety,traffic management
brake! the car in front suddenly stopped. ,Stop,traffic management
"careful, the car in front of us is getting dangerously close. ",Stop,traffic management
go around the silver car in front of us,Safety,traffic management
get into the same lane as the black car.,Not Safety,routing
make a you-turn a bit further down the street and follow my friend. he is driving the white sedan.,Not Safety,traffic management
get behind the car on the right. ,Not Safety,routing
stop parallel the white car up ahead,Stop,routing
go past the black car in the right lane,Not Safety,traffic management
 merge into the lane of this car.,Not Safety,traffic management
change into the rightmost lane to get behind this black suv.,Safety,traffic management
go around the car that is in front of us. ,Not Safety,traffic management
"get in the left lane over, behind  the car that just passed us. ",Safety,routing
go around the car in front of us,Not Safety,routing
just go around this car. merge left when it is clear and continue down this street,Not Safety,routing
please follow that black vehicle on the left.,Not Safety,routing
please stay behind this vehicle and follow it.,Not Safety,routing
wait for that car to pass before left turning.,Not Safety,routing
"we can park over by that car, go straight ahead and make the second turn to the left.",Not Safety,Parking
"wait for the white car to pass, then turn left.",Safety,traffic management
go where the white car is please.,Not Safety,routing
stop until the car has passed.,Stop,traffic management
keep left to avoid the oncoming car.,Safety,routing
park next to the car on the left.,Not Safety,Parking
park next to that car,Not Safety,Parking
park in front of the black car,Not Safety,Parking
park next to the white car.,Not Safety,Parking
"i need to call my boyfriend, pull over next to that white car.",Not Safety,Entertainment
pull over next to that white sedan. ,Not Safety,traffic management
stop right next to that car so i can see if it is occupied. ,Safety,routing
 pull up behind that car closest to us so i can see if there is a good parking spot.,Not Safety,Parking
park near the white car,Not Safety,Parking
park beyond the car that is parked last. ,Not Safety,Parking
"park inside this parking, near the white car",Not Safety,Parking
park next to this car,Not Safety,Parking
park behind that white van,Not Safety,Parking
drop me off near the white car under the building.,Not Safety,traffic management
it is raining! drop me ff near the car under the building.,Not Safety,traffic management
get behind the black car,Not Safety,traffic management
park before the first car here.,Not Safety,Parking
keep distance from vehicle on the left side ,Safety,traffic management
park parallel to the parked cars on the right ,Not Safety,Parking
park behind the vehicle ahead ,Not Safety,Parking
we should turn right like the car in front of us.,Not Safety,traffic management
park the car somewhere past the row of vehicles on the right.,Not Safety,Parking
"watch out for the car on the right, they could turn into your lane. ",Safety,traffic management
"turn right, after the car just ahead of you has passed.",Safety,traffic management
turn left before that car gets to us.,Safety,traffic management
turn right and drop me off next to that silver car.,Not Safety,routing
"stop next to that car, i want to talk with the driver",Not Safety,Entertainment
keep to the right. the gray parked car on the left could pull out.,Not Safety,Parking
turn right and park near the gray car.,Not Safety,Parking
"when the light turns green, see if you can park next to that car up ahead on the left. ",Safety,traffic management
quickly follow the car that is turning left. ,Not Safety,routing
"get over to that car on the left, parked in between the trees. ",Safety,Parking
turn left and follow that gray vehicle.,Not Safety,routing
parallel park behind that white car up there ,Not Safety,Parking
follow the white car,Not Safety,routing
"you know what, just follow that white car turning right. we can get to our destination that way as well. ",Not Safety,routing
turn right to follow this car,Not Safety,routing
quickly follow that white car up ahead. it belongs to my friend and he is going to the same place as we are. ,Not Safety,routing
turn left where the red car is.,Not Safety,routing
continue straight past the black jeep.,Not Safety,routing
park next to the white mini van.,Not Safety,Parking
"right there, where that jeep is pulling out right now, that is the parking garage. drive there.",Not Safety,Parking
see if we can park someplace behind the red car to the left.,Not Safety,Parking
he told me he would be in a red car waiting for us. i think i see it across the street. get to that car!,Not Safety,Entertainment
follow that car driving up ahead.,Not Safety,Routing
park behind the white car,Not Safety,Parking
follow the red car coming from the left at the intersection.,Safety,Routing
park behind the white suv,Not safety,Parking
turn right at the intersection where you can see the car coming from the left. ,Safety,Routing
let the car on the left go through the intersection first.,Safety,Routing
park behind the white suv on the right.,Not Safety,Parking
follow the back car direct in front,Not Safety,Stop
park in the space behind the white car to your right.,Not Safety,Parking
turn left after the back car passes by us.,Not Safety,Routing
"i think that is my boss car, turn left and stop beside it",Stop,Stop
